CCR4	TGFBR1	0.0375
CCR4	CD36	0.075
CCR4	CDH1	0.0125
CCR4	VCAM1	0.0875
CCR4	NLRC4	0.0125
SMAD2	SMAD3	0.175
SMAD2	SPARC	0.1
SMAD2	TGFBR1	0.1625
SMAD2	VCAM1	0.0375
SMAD2	TNF	0.1125
SMAD2	TOLLIP	0.0125
MUC1	SMAD3	0.075
MUC1	SPARC	0.1125
MUC1	TGFBR1	0.05
MUC1	VCAM1	0.0125
MUC1	TNF	0.0625
MUC1	NLRC4	0.0125
MUC1	POSTN	0.05
SMAD3	TGFBR1	0.0125
SMAD3	VCAM1	0.0375
SMAD3	TNF	0.025
SMAD3	TOLLIP	0.0625
CXCR1	NLRC4	0.0125
AGT	CD36	0.0125
AGT	CCL18	0.05
AGT	CDH1	0.0625
AGT	TOLLIP	0.05
AGT	POSTN	0.05
AGT	ELMOD2	0.1
SPARC	TGFBR1	0.1
SPARC	TNF	0.1
SPARC	TOLLIP	0.05
CCR7	TGFBR1	0.0125
CCR7	CD36	0.0125
CCR7	CDH1	0.0125
CCR7	NLRC4	0.0125
TGFBR1	TOLLIP	0.05
CD36	CDH1	0.0125
CD36	NLRC4	0.0125
CD36	POSTN	0.05
CD36	CXCL1	0.05
CCL18	POSTN	0.05
CDH1	NLRC4	0.05
CDH1	POSTN	0.05
CDH1	ELMOD2	0.0125
CDH1	NOX4	0.0125
